ds_path,has_train,has_test,has_lesion,has_lesion_seg,has_synthseg,has_longitudinal,has_multiple_modalities,is_skullstripped,is_synthetic,desc
/midtier/sablab/scratch/alw4013/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset6003_AIBL,False,True,False,False,True,True,False,True,False,aging
/midtier/sablab/scratch/alw4013/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset7000_openneuro-ds004791,False,True,False,False,True,False,False,True,False,--
/midtier/sablab/scratch/alw4013/data/nnUNet_1mmiso_256x256x256_MNI_HD-BET_preprocessed/Dataset7001_openneuro-ds004848,False,True,False,False,True,False,False,True,False,--
